Index,Name,Color
443,S2010-Y,#ccd0ac
444,S3010-Y,#b4b490
445,S0515-Y,#fcfcd4
446,S1015-Y,#f4f8c4
447,S1515-Y,#e4e8b4
448,S0520-Y,#fcfcc8
449,S1020-Y,#f8fcb8
450,S2020-Y,#dcd89c
451,S3020-Y,#bcb87c
452,S0530-Y,#fcfcb4
453,S1030-Y,#fcfca0
454,S2030-Y,#e0d884
455,S3030-Y,#c0b464
456,S0540-Y,#fcfca8
457,S1040-Y,#fcfc94
458,S2040-Y,#ece06c
459,S3040-Y,#c8b850
460,S4040-Y,#a4903c
461,S5040-Y,#846c20
462,S0550-Y,#fcfc88
463,S1050-Y,#fcfc7c
464,S2050-Y,#ece05c
465,S3050-Y,#c4ac3c
466,S4050-Y,#a4902c
467,S0560-Y,#fcfc74
468,S1060-Y,#fcfc6c
469,S2060-Y,#f0d844
470,S3060-Y,#c8b030
471,S0570-Y,#fcfc60
472,S1070-Y,#fcfc50
473,S2070-Y,#f8d834
474,S1080-Y,#fcfc38
475,S4010-Y10R,#a49c80
476,S6010-Y10R,#685c44
477,S4020-Y10R,#a49460
478,S5020-Y10R,#887444
479,S6020-Y10R,#6c5830
480,S7020-Y10R,#4c3414
481,S4030-Y10R,#b09448
482,S5030-Y10R,#907430
483,S6030-Y10R,#684c18
484,S0580-Y10R,#fcfc3c
485,S2005-Y20R,#d0d0c0
486,S3065-Y20R,#e49014
487,S0580-Y20R,#fcf42c
488,S8010-Y30R,#28180c
489,S3560-Y40R,#c8640c
490,S2005-Y50R,#c8c0b8
491,S2005-Y80R,#c8bcbc
492,S0585-Y80R,#fc4c00
493,S0540-Y90R,#fca08c
494,S0560-Y90R,#fc704c
495,S1060-Y90R,#fc6440
496,S1580-Y90R,#e02400
497,S0502-R,#f8f4fc
498,S0502-R,#f8f4fc
499,S1002-R,#e4e0e8
500,S1502-R,#d4d0d8
501,S1502-R,#d4d0d8
502,S2002-R,#c4c0c8
503,S0505-R,#fcf0f0
504,S1005-R,#e4d8d8
505,S2005-R,#c8bcc4
506,S0507-R,#fcecec
507,S0510-R,#fce0e0
508,S1010-R,#e4ccd0
509,S1510-R,#d8c0c4
510,S2010-R,#c8b0b4
511,S3010-R,#ac9090
512,S0515-R,#fcdcd8
513,S1015-R,#f0c8c4
514,S1515-R,#dcb4b4
515,S0520-R,#fcc8c8
516,S1020-R,#f4b8b8
517,S2020-R,#d09c98
518,S3020-R,#ac7878
519,S4020-R,#985c5c
520,S5020-R,#7c4444
521,S6020-R,#5c2424
522,S7020-R,#380804
523,S0530-R,#fcb8b0
524,S1030-R,#f4a09c
525,S2030-R,#d8847c
526,S3030-R,#b46468
527,S4030-R,#904040
528,S5030-R,#702424
529,S6030-R,#4c0808
530,S1040-R,#f48880
531,S2040-R,#d86c64
532,S3040-R,#b84c48
533,S4040-R,#98342c
534,S5040-R,#681008
535,S1050-R,#f87468
536,S2050-R,#d85448
537,S3050-R,#ac3428
538,S4050-R,#841008
539,S2060-R,#d43828
540,S3060-R,#941004
541,S2570-R,#980800
542,S4010-R10B,#8c7480
543,S6010-R10B,#583c4c
544,S2005-R20B,#c0b4c4
545,S8010-R30B,#100014
546,S2005-R50B,#b4acd0
547,S2005-R80B,#a8b4d0
548,S0804-R90B,#d4e0f4
549,S0505-R90B,#d4e4f8
550,S1005-R90B,#c0d0ec
551,S2005-R90B,#a4b4d0
552,S1510-R90B,#98b4dc
553,S0515-R90B,#a0c8f4
554,S1560-R90B,#001cc0
555,S3065-R90B,#00008c
556,S1502-B,#bcccd8
557,S3010-B,#6488ac
558,S0520-B,#78c4e4
559,S1020-B,#68b0d8
560,S2020-B,#488cbc
561,S3020-B,#386ca4
562,S4020-B,#185084
563,S5020-B,#04346c
564,S6020-B,#001850
565,S7020-B,#000030
566,S0530-B,#38a8d8
567,S1030-B,#3098cc
568,S2030-B,#1c78b8
569,S3030-B,#005494
570,S4030-B,#00347c
571,S5030-B,#001860
572,S6030-B,#000044
573,S1040-B,#007cbc
574,S2040-B,#0058a8
575,S3040-B,#003890
